SubjectID,TrialNumber,Choice,ChoiceLabel,PlayChoice,ReactionTime,Card1,Card2,Card3,Card4,Card5,Card6,ExpectedValue,StandardDev,Condition,HighRT
22,94,2,Play,1,1.1911,9,8,-7,0,0,0,3.333333333,8.96288644,3,1
22,94,2,Play,1,1.0564,-6,9,-7,0,0,0,-1.333333333,8.96288644,3,1
22,94,2,Play,1,1.4054,8,9,-6,0,0,0,3.666666667,8.386497084,3,1
22,95,2,Play,1,1.0749,8,8,-7,0,0,0,3,8.660254038,3,1
22,10,1,Pass,0,2.6552,-8,-6,-7,0,0,0,-7,1,3,0
22,47,2,Play,1,1.3564,-4,1,2,0,0,0,-0.333333333,3.214550254,3,0
22,95,2,Play,1,2.3882,-3,-9,8,0,0,0,-1.333333333,8.621678104,3,1
22,10,2,Play,1,2.3359,4,-8,-7,0,0,0,-3.666666667,6.658328118,3,0
22,32,2,Play,1,1.4573,6,-7,4,0,0,0,1,7,3,0
22,95,2,Play,1,1.2748,-9,-7,8,0,0,0,-2.666666667,9.291573243,3,1
22,97,2,Play,1,1.1069,-8,-5,8,0,0,0,-1.666666667,8.504900548,3,1
22,95,2,Play,1,0.8413,-3,8,8,0,0,0,4.333333333,6.350852961,3,1
22,47,1,Pass,0,1.7239,-4,-2,-4,0,0,0,-3.333333333,1.154700538,3,0
22,42,2,Play,1,1.6722,5,5,-1,0,0,0,3,3.464101615,3,0
22,47,1,Pass,0,1.8707,-2,-4,2,0,0,0,-1.333333333,3.055050463,3,0
22,97,2,Play,1,1.3722,9,2,-8,0,0,0,1,8.544003745,3,1
22,32,2,Play,1,1.091,2,-7,4,0,0,0,-0.333333333,5.859465277,3,0
22,32,2,Play,1,1.0068,6,4,-7,0,0,0,1,7,3,0
22,94,2,Play,1,4.6356,9,3,-9,0,0,0,1,9.16515139,3,1
22,47,2,Play,1,3.9694,2,1,-3,0,0,0,0,2.645751311,3,0
22,10,2,Play,1,0.9544,5,4,-8,0,0,0,0.333333333,7.234178138,3,0
22,32,2,Play,1,1.4234,6,2,3,0,0,0,3.666666667,2.081665999,3,0
22,94,1,Pass,0,3.5547,-7,8,-9,0,0,0,-2.666666667,9.291573243,3,1
22,94,1,Pass,0,2.889,3,-9,-6,0,0,0,-4,6.244997998,3,1
22,91,2,Play,1,1.2082,9,-9,4,0,0,0,1.333333333,9.291573243,3,1
22,94,2,Play,1,1.0411,-7,9,-9,0,0,0,-2.333333333,9.865765725,3,1
22,42,2,Play,1,1.5555,-1,-4,5,0,0,0,0,4.582575695,3,0
22,91,2,Play,1,0.8251,-1,-8,4,0,0,0,-1.666666667,6.027713773,3,1
22,94,2,Play,1,0.9398,8,-7,3,0,0,0,1.333333333,7.637626158,3,1
22,47,2,Play,1,1.9889,2,-2,-3,0,0,0,-1,2.645751311,3,0
22,91,2,Play,1,1.0576,4,6,-1,0,0,0,3,3.605551275,3,1
22,10,2,Play,1,1.025,4,-6,5,0,0,0,1,6.08276253,3,0
22,47,1,Pass,0,1.6916,-4,-3,1,0,0,0,-2,2.645751311,3,0
22,32,2,Play,1,1.1066,3,6,2,0,0,0,3.666666667,2.081665999,3,0
22,42,2,Play,1,1.2391,-4,-1,5,0,0,0,0,4.582575695,3,0
22,42,2,Play,1,0.7883,5,-1,3,0,0,0,2.333333333,3.055050463,3,0
22,32,2,Play,1,0.9844,2,6,6,0,0,0,4.666666667,2.309401077,3,0
22,91,2,Play,1,0.8994,-9,4,6,0,0,0,0.333333333,8.144527815,3,1
22,91,2,Play,1,1.0709,-1,4,-9,0,0,0,-2,6.557438524,3,1
22,47,1,Pass,0,2.3947,1,-4,-4,0,0,0,-2.333333333,2.886751346,3,0
22,95,2,Play,1,1.3554,-7,8,-3,0,0,0,-0.666666667,7.767453465,3,1
22,10,2,Play,1,0.8064,4,5,-2,0,0,0,2.333333333,3.785938897,3,0
22,94,2,Play,1,0.8402,-6,3,9,0,0,0,2,7.549834435,3,1
22,32,2,Play,1,0.7919,2,3,4,0,0,0,3,1,3,0
22,95,2,Play,1,0.7919,7,8,-7,0,0,0,2.666666667,8.386497084,3,1
22,32,2,Play,1,0.7921,6,6,-7,0,0,0,1.666666667,7.505553499,3,0
22,47,1,Pass,0,1.5236,-3,-2,-4,0,0,0,-3,1,3,0
22,10,2,Play,1,1.5125,-2,-6,4,0,0,0,-1.333333333,5.033222957,3,0
22,97,1,Pass,0,1.7737,-5,-8,-7,0,0,0,-6.666666667,1.527525232,3,1
22,94,2,Play,1,1.7405,-9,3,8,0,0,0,0.666666667,8.736894948,3,1
22,91,2,Play,1,0.9234,9,6,-8,0,0,0,2.333333333,9.073771726,3,1
22,97,2,Play,1,0.9909,8,9,-5,0,0,0,4,7.810249676,3,1
22,47,2,Play,1,0.8542,1,2,-2,0,0,0,0.333333333,2.081665999,3,0
22,95,2,Play,1,0.7675,7,8,8,0,0,0,7.666666667,0.577350269,3,1
22,94,1,Pass,0,1.6392,-7,3,-6,0,0,0,-3.333333333,5.507570547,3,1
22,95,2,Play,1,1.6721,-7,-9,8,0,0,0,-2.666666667,9.291573243,3,1
22,94,1,Pass,0,3.7684,-7,-6,-9,0,0,0,-7.333333333,1.527525232,3,1
22,95,2,Play,1,1.4744,7,8,-9,0,0,0,2,9.539392014,3,1
22,32,2,Play,1,1.737,6,3,4,0,0,0,4.333333333,1.527525232,3,0
22,32,2,Play,1,2.3237,4,3,-7,0,0,0,0,6.08276253,3,0
