TrialNumber,Card1,Card2,Card3,Card4,Card5,Card6,Mean_EV,StdDev,Mean_ChoiceRT,Mean_ChoiceRT_Normalized,NumSubjects
73,4,-3,-7,-7,4,3,-1,5.329165038,6.15014,0.318721679,40
74,-8,-8,-7,9,4,-6,-2.666666667,7.312090444,2.9730425,-0.432377753,40
75,9,-8,-8,1,5,4,0.5,7.063993205,4.0382675,-0.032164345,40
76,2,3,-3,-1,-5,-3,-1.166666667,3.125166662,2.7845325,-0.556056597,40
77,-1,3,5,8,-7,7,2.5,5.648008499,2.643695,-0.52578027,40
78,-8,9,1,-8,9,-3,0,7.745966692,7.53657,1.130223619,40
79,2,4,-7,-5,-3,1,-1.333333333,4.320493799,4.2738325,0.093225638,40
80,3,-1,-7,-5,2,-2,-1.666666667,3.881580434,4.0125025,-0.257999437,40
81,-8,-9,8,1,-3,9,-0.333333333,7.737355276,5.223265,0.328675756,40
82,8,-9,8,3,-9,-2,-0.166666667,7.782458909,6.6130575,0.447199033,40
83,-4,3,8,-9,-8,8,-0.333333333,7.711463328,5.5527175,0.588013314,40
84,1,-5,-8,9,-8,8,-0.5,7.71362431,7.18021,0.768523409,40
85,8,8,-9,1,-9,-2,-0.5,7.661592524,4.12305,0.068905925,40
86,8,-9,-8,-5,4,9,-0.166666667,8.134289561,6.84664,0.617127463,40
87,4,9,-9,9,-9,-5,-0.166666667,8.542052837,4.703205,0.363120793,40
88,9,-1,1,8,-9,-9,-0.166666667,7.859177226,5.35441,0.360610165,40
89,9,-8,-9,1,-3,9,-0.166666667,7.960318252,5.8127125,0.521599877,40
90,3,-5,9,-9,-8,9,-0.166666667,8.256310718,6.7887575,0.815199736,40
91,6,-9,9,-8,4,-1,0.166666667,7.467708261,8.081285,1.158520734,40
92,8,-8,5,-8,2,1,0,6.6633325,5.2596975,0.44750716,40
93,5,-6,8,-9,4,-4,-0.333333333,6.889605697,7.765035,0.68606859,40
94,8,-7,-9,-6,3,9,-0.333333333,7.991662322,8.3059825,1.158040839,40
95,8,7,-9,-3,8,-7,0.666666667,7.916228058,7.0399125,0.982356561,40
96,9,-5,-8,3,2,-1,0,6.066300355,8.9231025,1.354655994,40
97,2,9,-5,-7,8,-8,-0.166666667,7.574078602,8.1925775,1.068556265,40
98,8,3,-7,-9,9,-9,-0.833333333,8.495096625,5.4271375,0.44183876,40
99,6,-7,-9,2,8,-1,-0.166666667,6.853223086,6.3864975,0.69254973,40
100,9,-9,8,-9,-1,1,-0.166666667,7.859177226,5.4875975,0.203670658,40
