SubNum,trialNumber,originalTrial,infoNorm,infoValue,choice,randNum,trialEV,trialVar,Card1,Card2,Card3,Card4,Card5,Card6,newCard1,newCard2,newCard3,newCard4,newCard5,newCard6
182,91,39345,1.15,0.78905484,2,0.16350564,0.166666667,7.305249254,9,-2,-7,4,-9,6,9,-2,999,999,999,6
182,92,40287,0.266666667,0.009693223,1,0.546682456,-1.833333333,5.810909281,5,4,1,-7,-7,-7,999,4,1,999,999,-7
182,93,40319,0.35,0.002750082,1,0.048466483,-1.166666667,5.036533199,-6,5,3,2,-5,-6,-6,5,999,2,999,999
182,94,40879,0.65,0.037465471,1,0.746489642,1.166666667,6.882344562,5,-5,-1,7,9,-8,5,999,999,999,9,-8
182,95,41139,0.133333333,0.020107856,1,0.10282024,-2.5,5.394441584,6,-5,-6,-9,-2,1,999,-5,-6,999,-2,999
182,96,41402,0.45,0.007957398,1,0.45901764,-0.5,4.135214626,-1,-2,-4,-5,5,4,999,-2,-4,999,5,999
182,97,41888,0,0.797733648,2,1.233231186,4,3.847076812,1,7,6,8,4,-2,999,7,999,8,4,999
182,98,43282,0.583333333,0.035729805,1,0.906744166,0.5,4.7644517,3,-5,2,-3,8,-2,3,-5,2,999,999,999
182,99,43528,0,1.137945031,2,0.006570508,3,4.647580015,6,-6,6,2,5,5,6,-6,999,2,999,999
182,100,43754,0,0.004485907,1,1.442281897,-3.666666667,4.501851471,-3,-8,-2,4,-5,-8,-3,-8,-2,999,999,999
183,1,8,0.3,1.4921875,1,1.061061188,-1.666666667,5.354126135,-4,7,-2,-3,-9,1,999,999,-2,-3,999,1
183,2,31,0.75,1.147135417,2,0.45028018,-0.5,5.753259945,-9,6,-3,4,3,-4,999,6,999,999,3,-4
183,3,39,0.933333333,1.488932292,1,1.162467304,-0.333333333,6.314005596,-9,3,-4,-3,2,9,-9,999,999,-3,2,999
183,4,63,0.766666667,1.5,1,0.555885736,0.666666667,6.282250128,-7,3,6,-3,9,-4,999,999,6,-3,999,-4
183,5,86,0.633333333,1.5,2,0.49241304,-1,6.418722614,8,-3,-7,-1,-8,5,8,999,999,-1,999,5
183,6,496,0.633333333,0,1,0.291519387,-0.5,5.08920426,5,2,2,-4,-9,1,5,2,999,-4,999,999
183,7,625,0.5,0,1,0.755825905,-1.5,6.503845017,-7,-9,-3,-1,9,2,999,-9,-3,-1,999,999
183,8,640,1,0.736979167,1,0.732338506,0.333333333,6.801960502,-9,-5,4,5,9,-2,999,-5,999,5,999,-2
